Transaction ID,Branch,Amount,Sender,Sender Old Balance,Sender New Balance,Receiver,Receiver Old Balance,Receiver New Balance,Transaction Count,Account Age,Last Transaction,Time of Transaction,isFraud
TRX9619841015,Chicago,8850.656,C1730465260,63631.04,20325.95,C806005031,32066.09,22598.24,1,4.19,0.04,13:05:05,1
TRX8235925562,Jacksonville,85070.76,C700356991,90800.64,5729.88,C478123697,51352.87,136423.63,6,8.21,4.74,23:44:26,0
TRX5740828414,Fort Worth,3837.3,C764826684,63897.43,60060.13,C1870749311,74222.98,78060.28,78,5.85,1.9,00:42:01,0
TRX4000636168,San Francisco,1220.13,C1433607373,51767.99,50547.86,C525199726,36760.17,37980.3,54,3.99,2.08,02:40:29,0
TRX7871040812,Los Angeles,148069.69,C1376105442,160796.69,12727,C129059937,50324.72,198394.41,35,1.97,0.26,20:42:16,0
TRX9657594669,Jacksonville,486.97,C1341781781,23668.35,23181.38,C514682400,26175.42,26662.39,5,2.09,1.01,01:01:14,0
TRX6752317573,San Jose,4188.03,C448491930,69494.4,65306.37,C1675971686,97232.04,101420.07,82,3.27,3.23,11:23:26,0
TRX5143392940,El Paso,14420.66,C1577643304,28851.41,14430.75,C1848513006,66318.99,80739.65,44,5.49,1.97,20:50:08,0
TRX4629646087,Boston,3780.15,C1244601059,16196.83,12416.68,C1469680626,69103.44,72883.59,28,5.27,2.57,22:56:12,0
TRX6724634688,San Francisco,489.56,C580212331,75351.76,74862.2,C1692036285,3286.03,3775.59,27,8.05,3.69,00:28:02,0
TRX8877961043,San Antonio,194451.87,C221850042,126.53,72296.19,C137123763,34883.27,86632.95,19,4.85,1.8,18:51:34,1
TRX1173666794,Jacksonville,55837.04,C1248832688,70019.56,14182.52,C1046211253,34602.84,90439.88,69,3.55,2.36,16:24:29,0
TRX9094252826,San Jose,130905.88,C1167522035,131156.98,251.1,C807166509,76223.5,207129.38,1,8.65,3.48,02:55:13,0
TRX5815612502,San Antonio,4732.59,C908084672,97837.05,93104.46,C1812214031,70156.59,74889.18,17,10.62,4.25,07:17:47,0
TRX9715923888,San Francisco,12026.115,C2115589111,28772.71,58450.43,C1735962278,77789.99,14434.4,112,5.15,0.15,12:52:59,1
TRX5749798337,Jacksonville,40570.22,C1207093026,29159.22,64642.03,C1108136194,55164.14,30350.59,87,7.97,1.02,00:22:35,1
TRX9427861591,Boston,2685.44,C131976509,72746.72,70061.28,C609879567,98404.21,101089.65,100,8.71,0.93,20:34:28,0
TRX1466262042,Chicago,60223.17,C811562535,68632.34,8409.17,C1123166613,62878.73,123101.9,56,5.76,0.77,18:04:41,0
TRX6085254693,San Jose,127875.63,C1748373433,164634.5,36758.87,C2116299597,74093.02,201968.65,96,3.54,2.41,20:53:42,0
TRX8662231381,Indianapolis,102391.7,C503133749,110605.69,8213.99,C1482087396,57883.9,160275.6,34,9.41,2.1,15:48:37,0
TRX9296088965,Nashville,103.64,C506972944,20618.55,20514.91,C1823955413,50540.86,50644.5,26,9.11,2.39,03:10:48,0
TRX4055150353,San Francisco,486780.94,C1332823688,43023.13,80609.21,C970900790,24625.44,8225.65,83,8.68,4.49,03:13:15,1
TRX8384936437,San Antonio,5204.2,C903195729,89118.52,83914.32,C1103641328,27568.26,32772.46,65,10.3,3.63,14:13:38,0
TRX5022360646,Los Angeles,131071.03,C712423434,201977.33,70906.3,C967343730,17797.62,148868.65,88,4.18,2.2,09:45:31,0
TRX8893661609,Dallas,2486.24,C467185608,28451.85,25965.61,C156850393,70071.18,72557.42,98,9.83,2.05,22:24:15,0
TRX9352750642,Indianapolis,3000.33,C1608633989,86200.49,83200.16,C1011599868,6183.59,9183.92,107,2.53,2.41,17:44:53,0
TRX9764462429,Indianapolis,71987.4,C1449772539,75937.87,3950.47,C1706027885,16873.03,88860.43,26,8.61,0.29,09:51:07,0
TRX5793751845,San Jose,11160.28,C1544793857,92372.97,81212.69,C593315506,51562.12,62722.4,103,9.04,5.63,20:17:23,0
TRX1293727891,Austin,10346.92,C1241189309,71797.11,61450.19,C1960031025,81809.91,92156.83,22,5.66,1.13,15:59:45,0
TRX7294857754,Boston,130072.56,C683517513,155309.39,25236.83,C151515831,166.53,130239.09,4,5.74,5.51,03:22:34,0
TRX7654658018,Columbus,11085.06,C1449360639,64657.07,53572.01,C1966082314,8632.85,19717.91,71,8.3,4.08,10:35:22,0
TRX4659303998,Boston,119684.79,C852736357,162471.81,42787.02,C1272159964,35740.4,155425.19,105,4.48,3.83,10:16:06,0
TRX9266525884,Nashville,3218.06,C88256198,28691.83,25473.77,C1594513480,39048.34,42266.4,38,9.23,0.41,21:57:19,0
TRX7949304136,Fort Worth,70299.66,C333879495,75625.91,5326.25,C2088582214,28758.64,99058.3,76,4,1.89,00:33:53,0
TRX2963700766,San Jose,45656.63,C1293177207,97750.12,52093.49,C1658329286,66025.01,111681.64,74,5.25,5.19,16:25:59,0
TRX8602104226,San Diego,25812.609,C1006297128,89950.75,39225.83,C583852441,73751.67,1053.57,12,2.05,1.53,14:19:39,1
TRX9840890154,San Diego,71440.65,C679046414,93090.39,21649.74,C1868437199,62304.75,133745.4,60,8.54,0.26,12:55:05,0
TRX6590523811,Charlotte,3486.78,C1169929192,7188.62,3701.84,C1094167216,29873.42,33360.2,25,6.7,2.8,13:02:11,0
TRX3647628821,Jacksonville,87903.04,C28615585,45064.81,19241.94,C1525619347,12178.07,24547.96,66,9.77,8.8,12:32:46,1
TRX7418875073,Austin,2782.56,C1814943883,19464.35,16681.79,C334648813,61970.48,64753.04,71,3.52,1.09,05:59:37,0
TRX1623582780,El Paso,133594.57,C1966657510,179803.76,46209.19,C1894492702,7352.63,140947.2,38,2.85,2.09,12:11:47,0
TRX8616678973,Charlotte,10909.31,C1853194041,67995.31,57086,C677317086,70207.28,81116.59,106,5.7,0.39,07:32:55,0
TRX4764319616,Denver,10819.72,C428307539,55804.21,44984.49,C718150867,88578.61,99398.33,90,6.63,6.12,06:08:30,0
TRX5716113493,Columbus,1784.956,C543835743,2979.17,24307.27,C1828438007,91560.04,69477,16,8.16,7.98,14:34:27,1
TRX5226539524,Austin,2623.75,C2083854344,43275.86,40652.11,C51325109,18967.72,21591.47,12,5.17,1,08:14:34,0
TRX5611897827,Fort Worth,2674.97,C1881309779,4427.92,1752.95,C664671266,14121.46,16796.43,33,9.29,3.87,04:21:29,0
TRX3477304562,Charlotte,77347.46,C1146222092,84809.15,7461.69,C1404703093,3192.01,80539.47,43,4.61,3.59,09:40:00,0
TRX3877832390,Los Angeles,5912.08,C170132562,60205.31,54293.23,C476238509,72628.38,78540.46,64,9.97,1.23,03:08:19,0
TRX3242002628,Seattle,12587.22,C831300922,27489.91,14902.69,C560321707,6408.73,18995.95,12,9.54,1.41,13:32:24,0
TRX3917971836,Charlotte,1059.81,C398468940,49937.7,48877.89,C1896539815,73431.64,74491.45,33,3.72,1.18,14:42:06,0
TRX5211429508,Houston,9452.85,C238069999,74795.38,65342.53,C1303192419,99663.24,109116.09,38,6.45,1.32,20:03:23,0
TRX4282994657,San Diego,7237.74,C1828884696,57610.43,50372.69,C32764980,16221.63,23459.37,1,7.02,1.21,08:33:27,0
TRX7955352436,Denver,110960.88,C476013202,1298241.4,1187280.52,C233852178,86458.07,197418.95,27,5.57,3.59,03:07:24,0
TRX5086188285,Phoenix,3117.04,C179437727,37608.03,34490.99,C780570776,59883.69,63000.73,39,2.48,1.75,11:50:04,0
TRX3882872764,Boston,924.07,C517787604,79693.06,78768.99,C2026371507,76276.52,77200.59,71,9.06,1.34,00:19:13,0
TRX9500592041,Chicago,3418.07,C1659286984,62219.15,58801.08,C1464949060,12398.69,15816.76,76,4.98,4.82,09:37:09,0
TRX8299591340,San Jose,146435.1,C931003277,786668.22,640233.12,C646445398,46048.13,192483.23,28,8.53,3.36,13:21:05,0
TRX1469905312,San Jose,93225.38,C1657767638,199476.35,106250.97,C1654115147,98779.79,192005.17,42,5.63,2.65,21:33:54,0
TRX5350257890,New York City,8416.21,C2097702021,16392.7,7976.49,C1778257620,73294.77,81710.98,98,8.12,3.29,09:18:40,0
TRX4522375284,San Jose,7204.66,C548093498,96800.21,89595.55,C1786560237,21436.04,28640.7,82,7.73,0.18,20:40:22,0
TRX9433655894,Philadelphia,9769.9,C1389509050,1036.98,15368.78,C903195729,32098.21,80770.96,76,8.94,1.97,08:06:52,1
TRX3605749249,Phoenix,46179.38,C1485438020,65037.86,18858.48,C512407823,41590.06,87769.44,2,8.56,1.14,09:27:01,0
TRX5986898997,Nashville,14220.88636,C870627780,72251.57,56611.56,C754707140,93673.32,7601.92,48,3.05,2.38,20:59:43,1
TRX2995817689,Denver,1017.85,C431939256,87396.68,86378.83,C582495711,68311.75,69329.6,4,6.55,5.66,10:43:53,0
TRX3947214224,San Francisco,285.71,C621359225,69921.19,69635.48,C1972950645,38537.65,38823.36,35,7.1,5.09,10:34:45,0
TRX5046179201,"Washington, D.C.",5247.92,C467988572,51621.26,46373.34,C1805638598,17933.85,23181.77,85,5,1.43,19:06:59,0
TRX3844057565,Charlotte,8834.5,C581031803,36953.05,28118.55,C181220448,93747.34,102581.84,72,5.46,3.23,16:14:35,0
TRX2602122787,Chicago,122127.11,C858727880,14145.76,35574.69,C1471800355,24148.06,82075.51,97,1.47,1.34,02:06:35,1
TRX1259354107,Houston,134905.99,C1853422837,147136.3,12230.31,C707238050,2339.95,137245.94,91,6.84,0.84,12:03:07,0
TRX8235273436,San Francisco,994.95,C1260440107,17617.76,16622.81,C1741494589,91082.08,92077.03,103,8.61,2.89,14:23:21,0
TRX2439186313,Charlotte,3529.72,C663531845,1580.84,51104.64,C852190062,2512.34,65326.3,67,2.82,1.25,13:48:21,1
TRX5773393428,Seattle,2515.77,C1160393458,26707.77,24192,C1257058590,8612.8,11128.57,107,5.54,2.43,23:41:21,0
TRX2169869341,Philadelphia,2318.74,C406358588,41133.58,38814.84,C1809367960,44033.42,46352.16,66,5.55,5.28,19:27:33,0
TRX5795224477,Charlotte,3523.635,C1230346437,17520.96,94552.41,C1842537555,26871.52,80163.55,111,8.94,1.06,09:57:26,1
TRX8554837125,Columbus,11079.34,C1520491508,12678.47,1599.13,C716154959,91397.02,102476.36,94,4.94,1.84,19:23:20,0
TRX6249432965,Dallas,11533.54,C1625932709,10256.1,59479.28,C218638614,2901.93,22835.2,48,4.61,3.01,04:36:48,1
TRX3907427871,Nashville,106267.21,C779598031,126997.23,20730.02,C751316099,77032.38,183299.59,73,9.68,1.5,16:12:13,0
TRX8723943632,Austin,5976.69,C300690223,54487.88,48511.19,C1621729085,57966.14,63942.83,75,5.49,1.29,16:33:55,0
TRX2800967026,New York City,5045.02,C925672150,21681.9,16636.88,C1054074477,69739.81,74784.83,28,3.1,0.58,13:38:38,0
TRX7329484770,New York City,6104.22,C1298547491,16375.24,10271.02,C287735431,45184.54,51288.76,62,6.24,3.97,22:17:10,0
TRX4367125652,Chicago,15593.41,C464886357,30236.73,14643.32,C770164810,19028.4,34621.81,83,9.79,3.3,09:16:01,0
TRX4304218044,Denver,39069.42,C442205321,73955.2,34885.78,C1456061400,99594.62,138664.04,98,7.67,2.03,17:37:14,0
TRX7760130848,Philadelphia,33796.975,C1759694910,68908.42,93217.32,C1105129521,77660.54,42162.15,112,1.97,0.43,23:08:21,1
TRX8277299399,Philadelphia,144029.614,C726212590,46771.61,1996.89,C512428725,51098.91,7831.54,12,7.7,4.61,06:02:06,1
TRX3916700655,Columbus,101055.18,C1334198737,27885.52,41375.41,C481577519,42203.98,53345.45,59,7.56,1.9,17:16:25,1
TRX9598827177,Chicago,10039.29,C1157136713,99368.05,89328.76,C500985266,6632.96,16672.25,61,9.63,3.16,02:48:11,0
TRX8407955252,Charlotte,3529.72,C1684336663,954.94,9846.07,C1721073890,54867.96,28417.81,65,3.34,0.45,07:58:58,1
TRX1570590329,Denver,98781.87,C1383790482,112469.53,13687.66,C381045251,62614.54,161396.41,56,5.91,1.36,06:22:57,0
TRX8889764270,Boston,3639.28,C88573335,78172.48,74533.2,C2093834526,23482.52,27121.8,78,8.52,1.4,20:07:02,0
TRX4985644504,San Francisco,31546.47,C2093086508,37073.24,5526.77,C941770293,61942.51,93488.98,22,10.43,6.24,17:57:54,0
TRX5418245839,Boston,1161.19,C1723278948,16251.99,15090.8,C2030294088,76703.65,77864.84,29,2.66,0.76,02:10:43,0
TRX2103702801,Columbus,651.54,C106930637,68068.63,67417.09,C859701702,73151.7,73803.24,62,6.82,5.08,08:38:03,0
TRX6382844292,San Francisco,1890.31,C498748934,3469.45,68025.38,C515495578,93365.86,1242.39,39,3.76,1.12,22:07:47,1
TRX3821104879,Denver,4886.95,C1552439732,11064.89,6177.94,C1488320466,9397.28,14284.23,56,10.6,5.34,05:21:19,0
TRX3089903149,San Jose,3226.39,C922145372,47311.56,44085.17,C144560386,80553.15,83779.54,8,7.66,2.55,21:57:25,0
TRX8834333996,San Jose,96899.33,C1819055096,133501.82,36602.49,C1090678364,93605.41,190504.74,32,6.69,1.6,02:10:12,0
TRX7974347200,Los Angeles,5675.84,C84093742,28535.07,22859.23,C1254161863,42501.05,48176.89,18,5.62,2.32,05:01:33,0
TRX4666047204,Dallas,11500.28,C832828638,87829.06,76328.78,C2092709730,49757.98,61258.26,43,4.78,2.51,17:00:27,0
TRX3354259921,Houston,113374.04,C1728554175,115374.8,2000.76,C1015539793,9097.62,122471.66,68,7.05,5.6,03:33:55,0
TRX5453130499,Indianapolis,106151.41,C424181011,126114.78,19963.37,C1423978346,21758.53,127909.94,54,9.25,4.53,14:01:14,0
TRX1890737359,Nashville,4290.36,C1498452883,1246.05,1444.53,C316671934,97213.98,22160.83,46,5.77,2.7,13:47:14,1
TRX9542403553,"Washington, D.C.",677.53,C509806761,53829.02,53151.49,C1111379131,3996.87,4674.4,52,5.85,2.58,14:06:51,0
TRX5925016273,Denver,9550.43,C1989332276,32131.58,22581.15,C1247866422,58557.1,68107.53,42,1.69,0.76,22:11:53,0
TRX5561006404,Phoenix,33663.22,C428468422,52799.14,19135.92,C1855589354,72610.7,106273.92,28,1.74,0.53,12:54:01,0
TRX8889239240,San Jose,10131.78,C1959451969,92383.54,82251.76,C867911989,4487.85,14619.63,76,6.43,5.35,23:53:34,0
TRX9716966374,Nashville,61251.98,C1094627165,78902.73,17650.75,C78081168,52689.27,113941.25,68,9.92,2.12,23:35:05,0
TRX1603778258,Boston,670.96,C2109094401,16105.68,15434.72,C2102232441,45031.16,45702.12,18,8.76,4.27,18:58:22,0
TRX2505223496,San Francisco,2650.15,C1210315984,85530.99,82880.84,C692782171,48270.46,50920.61,77,2.42,2.03,01:58:44,0
TRX2703763086,Seattle,1427,C1107579932,37391.77,35964.77,C1439139158,75417.58,76844.58,17,5.79,3.34,10:34:27,0
TRX6988782445,Chicago,2869.65,C1378841761,29556.92,26687.27,C1432547991,59503.9,62373.55,55,4.54,1.61,03:52:42,0
TRX3085744019,Los Angeles,17993.08,C1198197478,65353.75,47360.67,C143929038,1816.98,19810.06,2,9.42,7.88,03:43:32,0
TRX9848151663,Houston,11436.9,C1942612200,72459.05,61022.15,C1098082328,65843.98,77280.88,61,8.76,5.62,15:43:40,0
TRX8988945288,Boston,152310.98,C273777019,153145.77,834.79,C756222660,58367.74,210678.72,104,4,1.92,19:55:02,0
TRX2903320696,Indianapolis,5437.85,C1058708051,59714.6,54276.75,C1899938605,46603.14,52040.99,44,5.33,3.47,05:59:38,0
TRX7149826516,Los Angeles,81947.39,C1378060385,103929.1,21981.71,C2117193231,45858.1,127805.49,13,6.82,1.5,20:21:51,0
TRX6577415917,New York City,9665.85,C1372422140,95047.23,85381.38,C143999341,14705.56,24371.41,99,8.26,0.6,04:35:31,0
TRX9139475890,El Paso,33341.16,C1567135053,11500.21,37594.75,C953107607,95068.71,14152.73,109,5.69,0.97,18:25:15,1
TRX9432296814,Philadelphia,9661.04,C599316979,7403.93,39917.74,C1836406440,23849.5,30500.62,112,1.43,0.31,14:29:15,1
TRX7883578834,New York City,138306.14,C1663786105,845697.14,707391,C1519482659,20918.34,159224.48,84,3.35,0.81,12:11:13,0
TRX8175060918,"Washington, D.C.",115.94,C1101970356,54185.11,54069.17,C1218496682,40036.37,40152.31,13,3.98,1.24,13:42:10,0
TRX8716173613,Los Angeles,1522.02,C49365994,79314.4,77792.38,C1535454025,60053.96,61575.98,42,4.19,1.92,19:47:00,0
TRX8298420352,San Antonio,128930.1,C616459828,142834.91,13904.81,C1558686575,83677.12,212607.22,23,8.75,2.52,17:40:50,0
TRX9752487852,El Paso,5764.6,C103634455,80937.54,75172.94,C265629779,39888.66,45653.26,8,4.03,1.14,03:12:21,0
TRX2908384183,Dallas,18483.96,C1868366224,21064.98,2581.02,C16957838,13053.55,31537.51,77,9.77,3.77,19:42:42,0
TRX1905936615,Columbus,2759.556,C594916129,24047.01,7568.43,C1358323680,71155.73,36838.59,27,6.48,1.72,09:39:45,1
TRX9699009495,San Jose,110562.27,C2109182431,115224.94,4662.67,C764826684,87637.12,198199.39,33,5.29,1.75,08:38:47,0
TRX2820948414,Phoenix,13191.45,C716154959,96270.53,83079.08,C1709317347,87076.32,100267.77,92,8.79,7.26,16:28:45,0
TRX7742755754,Seattle,61578.69,C1405055124,77031.9,15453.21,C1224570697,29081.92,90660.61,59,8.16,3.96,01:28:13,0
TRX3739694267,"Washington, D.C.",35485.18,C984412970,88534.96,53049.78,C2046308292,46788.87,82274.05,34,5.44,0.52,04:29:33,0
TRX5253452545,Jacksonville,127683.59,C1238616099,27860.73,50952.87,C1315209017,73045.28,31500.2,87,6.6,1.55,16:26:41,1
TRX7817876345,Fort Worth,7823.46,C697001207,96544.16,88720.7,C1795451038,82909.37,90732.83,56,6.06,2.57,18:49:05,0
TRX6991405380,Austin,8154.19,C896852376,48740.01,40585.82,C514453513,34692.13,42846.32,89,3.36,2.92,22:00:02,0
TRX7371146730,San Antonio,114080.16,C1556061855,136876.64,22796.48,C876823802,77869.54,191949.7,69,7.26,3.35,10:58:04,0
TRX6663159542,"Washington, D.C.",2329.92,C32764980,8434.96,6105.04,C263588219,95957.1,98287.02,41,7.05,3.82,08:33:55,0
TRX5960935424,New York City,8239.66,C1720865719,83641.89,75402.23,C889961821,59608.82,67848.48,2,8.91,6.34,04:51:01,0
TRX4708104278,Dallas,7930.66,C943659381,51617.04,43686.38,C1778422985,12477.44,20408.1,87,5.97,2.39,06:14:44,0
TRX9197377138,Jacksonville,245343.94,C1028145537,82472.54,56587.51,C1383031847,80031.74,28881.17,83,1.32,0.78,16:42:02,1
TRX4921147255,"Washington, D.C.",7312.09,C1274740515,9052.7,1740.61,C720486234,44355.68,51667.77,16,11.45,8.6,04:30:26,0
TRX8314196449,Jacksonville,94038.9,C1477312973,107926.68,13887.78,C496512958,88999,183037.9,68,10.21,5.64,17:52:27,0
TRX6266045046,San Antonio,235.2,C907089215,70660.28,70425.08,C2093965588,14807.69,15042.89,83,10.2,6.72,07:44:14,0
TRX1902290744,Fort Worth,4424.09,C1705294294,23426.43,19002.34,C1304939804,4951.86,9375.95,100,9.34,8.79,20:28:23,0
TRX1467798550,Boston,123487.04,C981487964,133365.26,9878.22,C2011324899,39752.26,163239.3,90,10.95,1.9,21:59:19,0
TRX9891585245,Charlotte,6183.38,C1910326820,38440.88,32257.5,C160867654,67081.31,73264.69,19,10.9,6.68,22:55:45,0
TRX2463954616,El Paso,112196.84,C1129442657,113011.31,814.47,C836211136,76615.49,188812.33,83,8.51,5.57,08:28:22,0
TRX3802687734,Charlotte,74401.84,C870627780,92908.15,18506.31,C142103421,31245.16,105647,48,3.64,3.05,20:42:41,0
TRX6155585176,San Francisco,1092.44,C1264941544,5763.05,95141.53,C105321150,89934.41,34046.93,57,2.25,1.26,07:32:06,1
TRX4387962394,Boston,117158.12,C2058566824,121918.02,4759.9,C1427013366,83881.64,201039.76,19,2.03,1.05,15:22:03,0
TRX2813626341,Jacksonville,1890.31,C656704934,3875.44,31719.15,C1770391569,36016.8,41398.11,58,6.45,0.29,07:00:12,1
TRX7559208286,Columbus,25313.62,C2021148063,48534.01,23220.39,C415850427,71070.24,96383.86,41,7.48,0.07,19:26:24,0
TRX5264334573,Los Angeles,3608.41,C1094167216,59907.6,56299.19,C487264509,95422.6,99031.01,62,2.49,0.74,03:47:36,0
TRX5733179778,Nashville,8782.04,C308021294,56544.71,47762.67,C1867037662,95853.86,104635.9,22,5.57,1.49,08:55:54,0
TRX2664735196,Los Angeles,56641.09,C1871048194,98556.28,41915.19,C1896712674,9238.72,65879.81,24,3.54,1.56,04:06:23,0
TRX7869619752,Austin,16092.52,C905774041,31442.87,15350.35,C1822325490,53564.14,69656.66,56,7.86,2.67,01:08:06,0
TRX9220903436,Fort Worth,81967.65,C612716569,87637.12,5669.47,C1488608048,164.01,82131.66,84,7.59,0.16,13:11:41,0
TRX4214739313,Philadelphia,3302.632,C1779787990,11549.01,20359.7,C1182888954,17801.19,86269.55,1,2.76,1.42,16:06:25,1
TRX3366589322,Chicago,669.13,C1797763792,11029.19,10360.06,C880282841,45637.01,46306.14,108,6.77,4.12,12:18:03,0
TRX3017550004,Jacksonville,8794.043,C562561015,49377.42,56389.22,C1558129795,57812.49,57059.42,47,3.19,2.82,09:25:21,1
TRX8328536022,Austin,111718.52,C861522296,134553.82,22835.3,C521311335,16074.26,127792.78,73,3.77,2.34,03:33:26,0
TRX6375073095,Indianapolis,12039.23,C1856963340,65054.01,53014.78,C1297189990,84196.79,96236.02,65,8.51,1.86,09:44:02,0
TRX4347921633,Jacksonville,175652.39,C388165089,86458.96,15778.42,C1558029640,34900.09,77884.66,72,4.57,0.92,10:52:02,1
TRX2015746060,Fort Worth,65671.39,C564817260,66047.07,375.68,C1407795127,44809.96,110481.35,3,7.37,1.52,03:54:55,0
TRX2838422643,Fort Worth,56471.48,C1262516935,62262.32,5790.84,C1590075830,29249.05,85720.53,14,5.63,0.7,18:50:25,0
TRX5893801242,Dallas,25784.58,C741390111,33747.44,7962.86,C427645575,55912.65,81697.23,33,4.37,4.06,11:08:03,0
TRX3389659972,Houston,178773.89,C1891974590,182757.49,3983.6,C1948950538,66049.72,244823.61,86,6.39,5.95,14:24:57,0
TRX1743798433,Austin,1089.31,C1538849250,66576.11,65486.8,C2076829355,99513.23,100602.54,103,9.84,2.16,15:26:22,0
TRX3543709886,"Washington, D.C.",6342.6,C664700395,41531.58,35188.98,C912493401,72694.92,79037.52,13,2.44,0.66,06:02:08,0
TRX5931504916,Philadelphia,9299.31,C692760632,20519.6,11220.29,C1756039478,74876.71,84176.02,103,5.14,3.08,05:12:26,0
TRX7806574023,Austin,1536.68,C1371400311,62029.4,60492.72,C183995527,22960.45,24497.13,25,4.58,2.27,21:57:40,0
TRX8346199787,Los Angeles,3157.28,C1884422865,24018.58,20861.3,C1004271827,13884.37,17041.65,25,4,2.87,20:08:26,0
TRX9115340112,Charlotte,2444.71,C1991094835,41541.69,39096.98,C1565713391,99552.71,101997.42,48,8.17,5.48,01:58:30,0
TRX7666149804,Houston,20986.8,C1043260983,57523.55,36536.75,C509157868,49132.62,70119.42,92,8.03,2.85,06:14:52,0
TRX3090609471,Indianapolis,3204.02,C1561688223,39371.27,36167.25,C1316483742,994.88,4198.9,96,4.69,4.42,01:05:29,0
TRX8613051012,Fort Worth,4119.874,C1230672645,41165.24,97390.19,C1700614789,73509.78,96725.63,37,7.24,0.24,16:38:01,1
TRX2565364741,Dallas,8148.08,C1092023914,42673.65,34525.57,C2089317615,83744.74,91892.82,56,5.87,1.41,12:46:04,0
TRX6404422295,Denver,2610.01,C631766751,57784.13,55174.12,C1238616099,15841.02,18451.03,51,6.98,3.09,04:48:59,0
TRX8770986256,Austin,4215.24,C2106129052,18981.32,14766.08,C159851247,26671.61,30886.85,106,9.5,0.28,12:16:09,0
TRX7868979739,Austin,1958.03,C1297151618,16083.84,14125.81,C1272744797,60874.34,62832.37,31,9.68,3.86,15:29:23,0
TRX1252639944,Phoenix,7744.38,C766565657,90542.24,82797.86,C369901249,47201.94,54946.32,108,6.17,1.44,02:38:05,0
TRX9546023786,Seattle,55230.19,C636910314,73277.11,18046.92,C383882703,35221.9,90452.09,70,9.55,8.45,09:35:32,0
TRX7440046034,New York City,1838.56,C1912973495,93851.66,92013.1,C623180223,78565.36,80403.92,7,5.1,3.98,07:26:17,0
TRX3473233817,Los Angeles,21787.306,C506890727,37223.03,61270.52,C1483641522,4698.21,37821.93,43,6.71,2.45,06:46:21,1
