Transaction ID,Type,Branch,Amount,Name Origin,Old Balance Origin,New Balance Origin,Name Destination,Old Balance Destination,New Balance Destination,Unusual Logins,Account Age,isFlaggedFraud,Account Type,Date of Transaction,Time of Day,isFraud
TRX6325327627,CASH_OUT,Irak,170745.6,C1994710867,432582.0,261836.4,C1994710867,0.0,0.0,11,7.937256392,0,Savings,12-01-2018,Afternoon,0
TRX2010014898,CASH_IN,Estados Unidos,32512.41,C1936634530,4125948.97,4158461.38,C1936634530,0.0,0.0,18,7.470243637,0,Savings,05-01-2018,Afternoon,0
TRX9390308327,PAYMENT,Estados Unidos,16487.8,C224661478,18554.0,2066.2,M351308439,1069383.0,1085870.8,7,2.088877289,0,Savings,03-01-2018,Night,0
TRX5921243531,CASH_IN,India,178961.93,C2006166872,6049254.52,6228216.45,C2006166872,0.0,0.0,18,5.141409771,0,Savings,19-01-2018,Night,0
TRX1490263142,PAYMENT,Rusia,3790.42,C68358753,8414.4,4623.98,M423377692,880661.0,884451.42,14,2.831854994,0,Savings,25-01-2018,Afternoon,0
TRX8064984171,PAYMENT,Alemania,11637.06,C741767653,50070.0,38432.94,M1106513402,1016249.0,1027886.06,14,3.529916075,0,Savings,12-01-2018,Afternoon,0
TRX7340865024,PAYMENT,Portugal,2519.4,C979865152,35694.58,33175.18,M573424492,539259.0,541778.4,9,4.078521805,0,Savings,05-01-2018,Night,0
TRX3830179105,CASH_OUT,Peru,13707.11,C556223230,13707.11,0.0,C556223230,0.0,0.0,17,3.724842148,0,Savings,06-01-2018,Night,0
TRX1596965619,CASH_OUT,India,159657.1,C1366629983,1884354.0,1724696.9,C1366629983,0.0,0.0,15,7.411585482,0,Savings,10-01-2018,Morning,0
TRX8138848793,PAYMENT,Australia,16115.55,C196340990,16509.0,393.45,M1590202270,1640657.0,1656772.55,12,4.799201347,0,Current,08-01-2018,Morning,0
TRX5802608142,CASH_OUT,Irak,123168.11,C18794137,1140287.0,1017118.89,C18794137,0.0,0.0,8,2.972119653,0,Savings,07-01-2018,Afternoon,0
TRX3290859706,TRANSFER,Italia,84212.94,C1336775847,768146.0,683933.06,C13329486,0.0,84212.94,5,8.828738366,0,Savings,25-01-2018,Afternoon,0
TRX7649762958,CASH_OUT,Estados Unidos,182374.61,C892091760,460551.0,278176.39,C892091760,0.0,0.0,12,5.240340504,0,Savings,12-01-2018,Afternoon,0
TRX8876926212,CASH_IN,Uruguay,3523.06,C227005513,9854223.72,9857746.78,C227005513,0.0,0.0,11,7.013218582,0,Savings,11-01-2018,Morning,0
TRX7139614413,PAYMENT,Estados Unidos,18591.22,C1673947520,264732.0,246150.78,M147646893,0.0,0.0,13,8.471437937,0,Savings,06-01-2018,Afternoon,1
TRX4975845637,PAYMENT,Estados Unidos,11591.3,C592313486,12627.0,1035.7,M412191417,438030.0,449621.3,10,7.870799135,0,Savings,07-01-2018,Morning,0
TRX4716074334,CASH_OUT,Estados Unidos,248408.34,C148232830,347045.0,98636.66,C148232830,0.0,0.0,17,2.388989367,0,Current,12-01-2018,Afternoon,0
TRX9471307789,TRANSFER,China,438437.09,C977160959,1639197.0,1200759.91,C248609774,740675.45,1179112.54,6,3.601886044,0,Savings,11-01-2018,Night,0
TRX3931297577,PAYMENT,Honduras,1841.69,C501639324,124930.52,123088.83,M1032131305,1967823.0,1969664.69,6,2.689662769,0,Savings,07-01-2018,Night,0
TRX5724907152,TRANSFER,Estados Unidos,61824.71,C1048133811,223083.0,161258.29,C1898288372,56601.0,118425.71,17,2.940869819,0,Savings,16-01-2018,Night,0
TRX1707244733,CREDIT,SudAfrica,2807.73,C1346197173,10640.0,13447.73,C1973538135,15655.05,12847.32,9,5.537807384,0,Savings,09-01-2018,Morning,0
TRX7703780597,PAYMENT,El Salvador,15730.19,C1280977839,1071036.0,1055305.81,M516040753,866602.0,882332.19,6,5.325943735,0,Savings,07-01-2018,Night,0
TRX3431829934,CASH_IN,Estados Unidos,484.57,C1859216983,5422437.76,5422922.33,C1859216983,0.0,0.0,3,7.472122823,0,Savings,11-01-2018,Afternoon,0
TRX2733662719,PAYMENT,Francia,5159.5,C1351275110,22366.0,17206.5,M588503940,258494.0,263653.5,11,8.249759172,0,Savings,07-01-2018,Night,0
TRX4701213656,CASH_IN,India,26531.35,C2101554112,4239952.52,4266483.87,C2101554112,0.0,0.0,5,6.79649007,0,Savings,09-01-2018,Night,0
TRX5726726894,PAYMENT,Rusia,13878.21,C2054792662,49623.0,35744.79,M1247720979,1931510.0,1945388.21,12,7.848212671,0,Savings,11-01-2018,Afternoon,0
TRX3408084557,CASH_IN,Panama,291681.95,C93720343,527557.73,819239.68,C93720343,0.0,0.0,11,2.917405824,0,Savings,05-01-2018,Morning,0
TRX3521928256,PAYMENT,Estados Unidos,18152.45,C317927321,1570392.0,1552239.55,M1940612255,1998031.0,2016183.45,4,2.035432427,0,Savings,05-01-2018,Morning,0
TRX1122968455,CASH_OUT,Arabia Saudi,114499.14,C99770475,1877702.0,1763202.86,C99770475,0.0,0.0,1,7.061609882,0,Savings,13-01-2018,Night,0
TRX8898743658,CASH_IN,India,119675.03,C1480569460,2442637.2,2562312.23,C1480569460,0.0,0.0,8,3.341340351,0,Savings,08-01-2018,Morning,0
TRX6038218504,PAYMENT,India,38874.87,C1380499546,609441.0,570566.13,M354359092,473776.0,512650.87,4,4.209175801,0,Current,25-01-2018,Morning,0
TRX4387514272,PAYMENT,Francia,6686.54,C1293579836,12269.0,5582.46,M492749549,119245.0,125931.54,8,0.506133349,0,Savings,03-01-2018,Night,0
TRX2486456388,PAYMENT,Polonia,28369.96,C1315209017,66292.0,37932.04,M2004981696,0.0,0.0,8,5.29356545,0,Savings,10-01-2018,Afternoon,1
TRX9656460647,PAYMENT,Alemania,4227.19,C198098993,36054.0,31836.81,M553672556,0.0,0.0,14,4.856303848,0,Savings,10-01-2018,Afternoon,1
TRX4530602753,PAYMENT,Filipinas,3272.71,C1971855969,4352.0,1079.29,M1629292387,157056.0,160328.71,5,7.160649296,0,Savings,06-01-2018,Afternoon,0
TRX9713295727,CASH_IN,Vietnam,197498.84,C1593443833,1116624.88,1314123.72,C1593443833,0.0,0.0,19,7.815839144,0,Savings,05-01-2018,Morning,0
TRX3119781609,CASH_OUT,China,49661.18,C1784834205,1554840.0,1505178.82,C1784834205,0.0,0.0,9,5.610346439,0,Savings,09-01-2018,Night,0
TRX5182564461,PAYMENT,Australia,6548.43,C1324262781,204316.0,197767.57,M2014233765,1923393.0,1929941.43,10,6.962848192,0,Current,03-01-2018,Night,0
TRX2679564846,PAYMENT,Camboya,6525.58,C15910024,337514.0,330988.42,M1420623741,1527273.0,1533798.58,3,5.85576029,0,Savings,08-01-2018,Morning,0
TRX7489791510,PAYMENT,Irak,6490.69,C2054787417,14703.0,8212.31,M67811496,1477097.0,1483587.69,11,8.853652238,0,Savings,10-01-2018,Afternoon,0
TRX1071515336,PAYMENT,Francia,6382.5,C917379055,21022.0,14639.5,M1066504752,1267653.0,1274035.5,18,1.386841712,0,Current,19-01-2018,Morning,0
TRX9664801100,PAYMENT,Italia,663.34,C1691858720,54727.71,54064.37,M807872790,1439908.0,1440571.34,11,0.616670904,0,Current,06-01-2018,Night,0
TRX6050898569,PAYMENT,Republica Dominicana,1156.11,C549049813,9044.0,7887.89,M1729958231,1432277.0,1433433.11,15,4.112815539,0,Current,11-01-2018,Night,0
TRX8288437220,PAYMENT,Egipto,4828.43,C247644034,36736.58,31908.15,M214313531,820601.0,825429.43,15,5.732238987,0,Savings,09-01-2018,Afternoon,0
TRX5373749876,PAYMENT,Francia,27475.78,C1759368213,636995.0,609519.22,M812415990,1172909.0,1200384.78,3,8.026922242,0,Savings,07-01-2018,Morning,0
TRX1795451688,PAYMENT,Honduras,1839.63,C717278052,19480.0,17640.37,M2078517303,1284133.0,1285972.63,4,4.788008828,0,Savings,25-01-2018,Afternoon,0
TRX7757603787,PAYMENT,Israel,372.34,C872522004,65254.0,64881.66,M1348916831,1439550.0,1439922.34,14,4.863108966,0,Current,07-01-2018,Afternoon,0
TRX1444075054,CASH_OUT,Estados Unidos,191702.06,C2052457859,382243.0,190540.94,C2052457859,0.0,0.0,16,7.922888086,0,Savings,09-01-2018,Morning,0
TRX1555231866,TRANSFER,Rusia,436465.06,C1390694257,1007442.0,570976.94,C758750856,26547.0,463012.06,8,8.638808385,0,Current,06-01-2018,Night,0
TRX5246547697,CASH_OUT,Filipinas,540789.56,C1609086753,1410699.0,869909.44,C1609086753,0.0,0.0,6,4.823792393,0,Savings,25-01-2018,Afternoon,0
TRX9202370670,CASH_OUT,Italia,122380.82,C412255839,202063.98,79683.16,C412255839,0.0,0.0,15,2.689579404,0,Savings,09-01-2018,Morning,0
TRX7255650007,PAYMENT,Vietnam,6192.38,C1998269275,293451.0,287258.62,M447105432,1583038.0,1589230.38,19,8.692860103,0,Current,11-01-2018,Morning,0
TRX6724389099,PAYMENT,Reino Unido,5171.22,C639769517,14115.0,8943.78,M361712894,824677.0,829848.22,20,6.161191202,0,Savings,07-01-2018,Night,0
TRX4831161061,PAYMENT,Afganistan,3860.03,C1057707545,13282.0,9421.97,M1739573686,1946037.0,1949897.03,11,2.23009289,0,Savings,13-01-2018,Afternoon,0
TRX4062542798,PAYMENT,Reino Unido,1016.95,C1824225917,7745.0,6728.05,M215694469,1130449.0,1131465.95,14,7.349971025,0,Savings,10-01-2018,Afternoon,0
TRX5561483403,CASH_IN,Iran,82564.24,C322830747,6739112.35,6821676.59,C322830747,0.0,0.0,4,6.717306165,0,Savings,08-01-2018,Night,0
TRX7339458264,TRANSFER,India,2061082.82,C2007599722,2499819.0,438736.18,C1590550415,14900000.0,16961082.82,13,0.298090768,0,Savings,19-01-2018,Night,0
TRX9624029960,PAYMENT,SudAfrica,3988.39,C1892463551,80513.0,76524.61,M285205295,219413.0,223401.39,15,5.487560135,0,Current,12-01-2018,Afternoon,0
TRX4295921596,CASH_IN,Guatemala,194451.87,C696327501,2978801.08,3173252.94,C696327501,345945.73,108483.43,4,0.5461913747,0,Current,06-01-2018,Morning,1
TRX9937570619,CASH_IN,Honduras,24638.55,C71681683,4003379.84,4028018.39,C71681683,0.0,0.0,6,0.586286997,0,Savings,06-01-2018,Night,0
TRX5787874029,CASH_OUT,Alemania,333946.96,C1851522556,1084097.27,750150.31,C1851522556,0.0,0.0,8,1.70437329,0,Savings,09-01-2018,Afternoon,0
TRX4038580848,PAYMENT,Alemania,5601.3,C1520656618,7638.0,2036.7,M1699265405,750319.0,755920.3,7,0.975234559,0,Current,25-01-2018,Night,0
TRX5986898997,CASH_OUT,Australia,49350.98,C1890212065,378896.35,329545.37,C1890212065,0.0,0.0,2,8.67685016,0,Savings,11-01-2018,Night,0
TRX6182280197,CASH_IN,Alemania,132499.75,C602011152,1876043.0,2008542.75,C602011152,0.0,0.0,14,0.548864677,0,Savings,10-01-2018,Night,0
TRX9976379749,CASH_OUT,Arabia Saudi,39485.21,C626193099,1287483.0,1247997.79,C626193099,0.0,0.0,14,6.406392519,0,Savings,25-01-2018,Morning,0
TRX2994614129,CASH_IN,Alemania,119973.24,C1377988183,9337863.38,9457836.62,C1377988183,0.0,0.0,17,6.892855018,0,Current,08-01-2018,Afternoon,0
TRX7506054026,CASH_OUT,Brasil,472385.25,C1193841543,679213.19,206827.94,C1193841543,0.0,0.0,13,2.504951516,0,Savings,06-01-2018,Night,0
TRX4663105069,PAYMENT,Mexico,6013.05,C2058127492,43830.0,37816.95,M174515584,1143026.0,1149039.05,12,1.900745522,0,Savings,25-01-2018,Morning,0
TRX4918390469,PAYMENT,Mexico,5222.53,C337777621,10059.0,4836.47,M154449199,961689.0,966911.53,7,2.250033351,0,Current,13-01-2018,Afternoon,0
TRX5201614025,CASH_OUT,Argelia,47819.39,C1770230975,726918.0,679098.61,C1770230975,0.0,0.0,15,0.193587054,0,Current,10-01-2018,Afternoon,0
TRX2671168574,TRANSFER,Filipinas,1453126.81,C1150063356,2088239.0,635112.19,C453211571,3809570.13,5262696.94,16,8.559147408,0,Savings,13-01-2018,Morning,0
TRX2578595831,CASH_OUT,Estados Unidos,533164.85,C191307226,1736335.59,1203170.74,C191307226,0.0,0.0,11,6.084297839,0,Savings,13-01-2018,Afternoon,0
TRX7440681207,CASH_OUT,El Salvador,141702.19,C287095360,377923.0,236220.81,C287095360,0.0,0.0,11,7.953266497,0,Savings,11-01-2018,Night,0
TRX8489135206,PAYMENT,Nicaragua,2927.68,C651431031,10908.0,7980.32,M140163428,658062.0,660989.68,6,1.442833846,0,Savings,07-01-2018,Afternoon,0
TRX4599163027,CASH_OUT,China,340917.37,C507479765,527758.0,186840.63,C507479765,0.0,0.0,7,5.614322606,0,Savings,08-01-2018,Night,0
TRX1772450552,CREDIT,Alemania,13758.63,C216376974,29858.0,43616.63,C1219161283,21305.0,7546.37,10,0.686143586,0,Savings,03-01-2018,Night,0
TRX8801450619,PAYMENT,Indonesia,4477.03,C1131963943,10548.0,6070.97,M493844439,457470.0,461947.03,12,6.861933311,0,Savings,10-01-2018,Morning,0
TRX4284052503,PAYMENT,China,6257.76,C2030294088,22163.0,15905.24,M1309191417,692510.0,698767.76,17,8.408401057,0,Savings,08-01-2018,Afternoon,0
TRX5980179818,PAYMENT,Nigeria,8001.69,C1100288091,51106.0,43104.31,M1866340787,1587695.0,1595696.69,7,3.210926912,0,Savings,11-01-2018,Morning,0
TRX8464098973,CASH_IN,Espana,47529.19,C1113895488,472283.2,519812.39,C1113895488,0.0,0.0,20,3.806678959,0,Savings,13-01-2018,Afternoon,0
TRX2107014691,TRANSFER,Noruega,651387.84,C1618683794,1219344.0,567956.16,C248609774,5405684.33,6057072.17,2,0.646201913,0,Savings,11-01-2018,Night,0
TRX4016485527,CASH_IN,Iran,94933.34,C1464079293,447650.0,542583.34,C1464079293,0.0,0.0,10,5.590577496,0,Savings,07-01-2018,Morning,0
TRX5744591779,CASH_IN,Brasil,306426.01,C946775567,2862422.61,3168848.62,C946775567,0.0,0.0,18,7.946120463,0,Current,13-01-2018,Morning,0
TRX4853367919,CASH_OUT,Paises Bajos,151095.37,C902315094,1269615.0,1118519.63,C902315094,0.0,0.0,15,8.256996548,0,Savings,03-01-2018,Night,0
TRX9682475616,PAYMENT,Mexico,2831.44,C940088750,11763.0,8931.56,M158505623,745740.0,748571.44,18,1.125697717,0,Savings,12-01-2018,Afternoon,0
TRX9176143484,TRANSFER,Australia,139173.95,C1324451332,1821650.0,1682476.05,C1289462509,0.0,139173.95,20,2.703633442,0,Savings,12-01-2018,Night,0
TRX2889738050,CASH_IN,Italia,109768.65,C419923787,7858869.37,7968638.02,C419923787,0.0,0.0,6,0.758668392,0,Savings,05-01-2018,Afternoon,0
TRX6886624607,CASH_IN,Estados Unidos,26775.37,C783759938,6600948.54,6627723.91,C783759938,0.0,0.0,15,7.404561674,0,Savings,10-01-2018,Morning,0
TRX5319751144,PAYMENT,Guatemala,5935.34,C23053378,279695.0,273759.66,M1060928475,998730.0,1004665.34,19,6.787839444,0,Current,03-01-2018,Morning,0
TRX6795000130,CASH_OUT,Francia,86821.76,C2103820460,996713.0,909891.24,C2103820460,0.0,0.0,20,0.000706994,0,Savings,12-01-2018,Afternoon,0
TRX6759631379,CASH_IN,Australia,120234.99,C1157943921,1155863.3,1276098.29,C1157943921,0.0,0.0,10,3.979382192,0,Savings,06-01-2018,Morning,0
TRX1537729170,CASH_IN,Paises Bajos,80280.3,C670316132,1442878.64,1523158.94,C670316132,0.0,0.0,2,3.655349327,0,Current,10-01-2018,Night,0
TRX3098426235,CASH_IN,Mexico,58431.85,C1938456924,10100000.0,10158431.85,C1938456924,0.0,0.0,16,0.839243555,0,Savings,08-01-2018,Afternoon,0
TRX4316707466,CASH_IN,Nueva Zelanda,146331.12,C2082509879,2131606.6,2277937.72,C2082509879,0.0,0.0,8,8.496714929,0,Savings,25-01-2018,Afternoon,0
TRX3878611730,PAYMENT,Honduras,8598.19,C509643020,30605.0,22006.81,M208144409,455655.0,464253.19,4,8.754782837,0,Current,12-01-2018,Afternoon,0
TRX2040005069,PAYMENT,Australia,19304.22,C1712597146,24895.0,5590.78,M1095290435,1223161.0,1242465.22,17,1.589973435,0,Current,08-01-2018,Night,0
TRX8241341605,CASH_IN,Australia,506375.58,C1586095399,2725871.09,3232246.67,C1586095399,0.0,0.0,2,4.243627641,0,Current,25-01-2018,Morning,0
TRX2815879352,PAYMENT,Paises Bajos,11611.66,C856000892,42966.33,31354.67,M1402232732,178098.0,189709.66,20,3.250744106,0,Savings,05-01-2018,Night,0
TRX4516849703,PAYMENT,Mexico,6926.11,C204534381,9594.0,2667.89,M1567903868,1329808.0,1336734.11,1,7.716791373,0,Savings,06-01-2018,Morning,0
TRX9432044190,CASH_IN,Rusia,133785.78,C1101590744,7419933.98,7553719.76,C1101590744,0.0,0.0,19,5.009799794,0,Savings,13-01-2018,Night,0
TRX8591040311,CASH_IN,Austria,392470.41,C1500820019,2423992.63,2816463.04,C1500820019,0.0,0.0,16,4.288217944,0,Savings,16-01-2018,Morning,0
TRX8098915870,PAYMENT,Australia,2290.0,C989321301,268569.12,266279.12,M1996787860,1881883.0,1884173.0,9,0.381107731,0,Savings,16-01-2018,Afternoon,0
TRX4338212824,PAYMENT,Cuba,349.63,C1108367077,9037.0,8687.37,M675889995,1481508.0,1481857.63,12,3.592433793,0,Current,09-01-2018,Afternoon,0
TRX5128006381,PAYMENT,Australia,6598.82,C2030707995,104777.0,98178.18,M1300399812,1978410.0,1985008.82,4,4.562920673,0,Savings,16-01-2018,Night,0
TRX8731289303,PAYMENT,India,8618.23,C2037874087,15921.0,7302.77,M865452711,1027615.0,1036233.23,12,1.928432515,0,Savings,13-01-2018,Night,0
TRX6338889645,PAYMENT,Cuba,2039.96,C48629688,233252.0,231212.04,M1035070395,1418285.0,1420324.96,12,1.999141992,0,Savings,05-01-2018,Afternoon,0
TRX6284952134,CASH_IN,Colombia,123951.78,C2116548099,9833673.49,9957625.27,C2116548099,0.0,0.0,8,6.674017904,0,Savings,05-01-2018,Afternoon,0
TRX6603798530,CASH_IN,Estados Unidos,7880.94,C1257287212,2545151.58,2553032.52,C1257287212,0.0,0.0,17,6.154426506,0,Savings,16-01-2018,Night,0
TRX2762260106,PAYMENT,Francia,8575.5,C1773267192,20845.0,12279.5,M308998656,0.0,0.0,16,5.910678879,0,Savings,25-01-2018,Morning,1
TRX5178253205,CREDIT,Indonesia,4538.75,C1373885310,10819.0,15357.75,C621014131,80056.78,75518.03,13,0.255998792,0,Savings,06-01-2018,Afternoon,0
TRX9532938618,PAYMENT,Iran,26862.79,C356347252,35393.0,8530.21,M1822115007,820052.0,846914.79,18,6.333093562,0,Savings,05-01-2018,Afternoon,0
TRX8022714942,PAYMENT,Mexico,5435.84,C115584215,22704.0,17268.16,M1438092717,531703.0,537138.84,20,8.322413483,0,Savings,16-01-2018,Night,0
TRX4455663539,CREDIT,Guatemala,3584.21,C833240229,135496.0,139080.21,C1330106945,100614.05,97029.84,17,8.911547971,0,Savings,13-01-2018,Night,0
TRX6994294458,PAYMENT,Francia,5248.34,C1631298894,134912.0,129663.66,M658645383,1333253.0,1338501.34,6,3.438266611,0,Current,07-01-2018,Night,0
TRX8391448822,PAYMENT,Costa de Marfil,41727.65,C2126991912,0.0,0.0,M1439651366,0.0,0.0,11,6.541109326,0,Savings,12-01-2018,Morning,1
TRX3427110607,PAYMENT,Honduras,2634.1,C1822159797,11678.0,9043.9,M1862784020,1191486.0,1194120.1,9,3.127676683,0,Savings,06-01-2018,Afternoon,0
TRX4989767964,PAYMENT,Australia,3973.91,C1178270318,30850.53,26876.62,M2073484941,1165293.0,1169266.91,4,8.495473323,0,Savings,07-01-2018,Night,0
TRX9771860332,PAYMENT,Paises Bajos,7048.35,C327004479,11715.0,4666.65,M708590084,1504734.0,1511782.35,5,1.079721687,0,Current,16-01-2018,Morning,0
TRX6577926180,PAYMENT,China,8363.92,C91496847,16319.0,7955.08,M1935247567,140953.0,149316.92,16,3.276180484,0,Current,03-01-2018,Afternoon,0
TRX6628913903,TRANSFER,Italia,421520.68,C501951555,1724594.0,1303073.32,C2083117811,31429.67,452950.35,9,7.170902051,0,Savings,09-01-2018,Night,0
TRX6507369645,TRANSFER,Francia,733678.95,C1431155101,1892131.0,1158452.05,C114618982,102226.0,835904.95,4,7.713075213,0,Savings,06-01-2018,Afternoon,0
TRX8185177759,CASH_OUT,Georgia,235238.66,C1499825229,235238.66,0.0,C1499825229,0.0,0.0,12,3.859149752,0,Current,09-01-2018,Afternoon,0
TRX2386348499,CASH_IN,Nigeria,437567.49,C751460639,2994735.4,3432302.89,C751460639,0.0,0.0,5,1.696183397,0,Savings,07-01-2018,Morning,0
TRX4524611944,PAYMENT,Reino Unido,18897.18,C1263973655,198244.0,179346.82,M287628665,1148655.0,1167552.18,2,8.011502969,0,Current,12-01-2018,Morning,0
TRX5434425944,PAYMENT,Brasil,532.13,C1600249858,6012.0,5479.87,M860176544,1217751.0,1218283.13,8,5.555336872,0,Savings,25-01-2018,Morning,0
TRX4324897652,CASH_OUT,China,51861.21,C1947633620,894370.12,842508.91,C1947633620,0.0,0.0,13,4.859450052,0,Savings,06-01-2018,Morning,0
TRX9317718437,TRANSFER,Tailandia,655143.29,C47491804,743675.0,88531.71,C1671179293,22053.28,677196.57,12,1.243904042,0,Savings,03-01-2018,Afternoon,0
TRX5684900818,PAYMENT,Nicaragua,25.12,C1257299717,61663.0,61637.88,M1474957626,277433.0,277458.12,16,1.051131843,0,Current,06-01-2018,Morning,0
TRX1832842191,PAYMENT,Turquia,3823.08,C243575009,10382.0,6558.92,M777341499,1237288.0,1241111.08,1,4.969695205,0,Savings,19-01-2018,Morning,0
TRX2754816364,PAYMENT,China,1810.41,C1925785585,12471.0,10660.59,M449338124,913495.0,915305.41,8,0.404081613,0,Savings,06-01-2018,Afternoon,0
TRX9947888506,PAYMENT,Estados Unidos,2114.18,C2027818863,9353.47,7239.29,M1485182201,1605596.0,1607710.18,19,7.960651805,0,Current,12-01-2018,Afternoon,0
TRX2927034788,CASH_IN,Reino Unido,30075.22,C457649325,7650058.67,7680133.89,C457649325,0.0,0.0,19,0.834947735,0,Savings,19-01-2018,Night,0
TRX9817360542,CASH_IN,India,156922.36,C1706272858,1281862.28,1438784.64,C1706272858,0.0,0.0,1,0.970433186,0,Savings,09-01-2018,Night,0
TRX6324170140,CASH_IN,Irlanda,86835.95,C56859396,7596484.86,7683320.81,C56859396,0.0,0.0,2,4.05250309,0,Savings,25-01-2018,Morning,0
TRX5844720468,PAYMENT,Tanzania,15448.0,C836969741,874758.0,859310.0,M436094532,1383893.0,1399341.0,20,7.996135139,0,Savings,09-01-2018,Afternoon,0
TRX7827465063,CASH_IN,China,201744.79,C2048625222,2642136.11,2843880.9,C2048625222,0.0,0.0,6,0.479003307,0,Savings,10-01-2018,Morning,0
TRX1460839521,CASH_IN,Estados Unidos,92398.49,C289281017,5536209.99,5628608.48,C289281017,0.0,0.0,10,7.587676283,0,Current,13-01-2018,Afternoon,0
TRX7067897305,CASH_OUT,Paises Bajos,102077.16,C1816294278,611943.0,509865.84,C1816294278,0.0,0.0,9,6.040069902,0,Current,09-01-2018,Morning,0
TRX3399005967,PAYMENT,Filipinas,10930.96,C308803634,1095722.0,1084791.04,M1897030087,1377111.0,1388041.96,1,6.715841656,0,Savings,03-01-2018,Night,0
TRX6642937092,CASH_IN,Estados Unidos,405114.48,C26781267,2916157.96,3321272.44,C26781267,0.0,0.0,1,7.36606981,0,Savings,03-01-2018,Morning,0
TRX8272577566,CASH_IN,Suecia,10844.67,C37268876,6194838.3,6205682.97,C37268876,0.0,0.0,19,0.412243637,0,Savings,06-01-2018,Afternoon,0
TRX4097524976,CASH_IN,Burkina Faso,294676.6,C140110402,2109805.18,2404481.78,C140110402,0.0,0.0,11,8.977701306,0,Savings,19-01-2018,Night,0
TRX8495814102,PAYMENT,Australia,7817.71,C90045638,53860.0,46042.29,M573487274,663109.0,670926.71,14,0.151490583,0,Current,08-01-2018,Morning,0
TRX9620362170,TRANSFER,India,708855.97,C115297013,2020649.0,1311793.03,C991505714,1066634.1,1775490.07,19,6.934770466,0,Savings,08-01-2018,Afternoon,0
TRX3473233817,CASH_IN,Arabia Saudi,275712.54,C1378612814,6269058.27,6544770.81,C1378612814,0.0,0.0,20,1.574701341,0,Savings,16-01-2018,Afternoon,0
TRX2015312277,CASH_OUT,Estados Unidos,93459.27,C959897458,1234490.0,1141030.73,C959897458,0.0,0.0,16,1.799551946,0,Savings,07-01-2018,Morning,0
