Type,Branch,Amount,Old Balance Origin,New Balance Origin,Old Balance Destination,New Balance Destination,Receiver,Unusual Logins,Account Age,Account Type,Time of Day,isFraud
CASH_OUT,Nicaragua,25975.86,25975.86,10.0,98152.0,28041.27,Self,0,0.7296954678,Savings,Afternoon,1
PAYMENT,Espana,17757.06,21802.0,4044.94,1402307.0,1420064.06,Merchant,17,7.357033222,Current,Afternoon,0
CASH_OUT,Irak,170745.6,432582.0,261836.4,0.0,0.0,Self,11,7.937256392,Savings,Afternoon,0
CASH_IN,Estados Unidos,32512.41,4125948.97,4158461.38,0.0,0.0,Self,18,7.470243637,Savings,Afternoon,0
PAYMENT,Estados Unidos,16487.8,18554.0,2066.2,1069383.0,1085870.8,Merchant,7,2.088877289,Savings,Night,0
CASH_IN,India,178961.93,6049254.52,6228216.45,0.0,0.0,Self,18,5.141409771,Savings,Night,0
PAYMENT,Rusia,3790.42,8414.4,4623.98,880661.0,884451.42,Merchant,14,2.831854994,Savings,Afternoon,0
PAYMENT,Alemania,11637.06,50070.0,38432.94,1016249.0,1027886.06,Merchant,14,3.529916075,Savings,Afternoon,0
PAYMENT,Portugal,2519.4,35694.58,33175.18,539259.0,541778.4,Merchant,9,4.078521805,Savings,Night,0
CASH_OUT,Peru,13707.11,13707.11,0.0,0.0,0.0,Self,17,3.724842148,Savings,Night,0
CASH_OUT,India,159657.1,1884354.0,1724696.9,0.0,0.0,Self,15,7.411585482,Savings,Morning,0
PAYMENT,Australia,16115.55,16509.0,393.45,1640657.0,1656772.55,Merchant,12,4.799201347,Current,Morning,0
CASH_OUT,Irak,123168.11,1140287.0,1017118.89,0.0,0.0,Self,8,2.972119653,Savings,Afternoon,0
TRANSFER,Italia,84212.94,768146.0,683933.06,0.0,84212.94,Customer,5,8.828738366,Savings,Afternoon,0
CASH_OUT,Estados Unidos,182374.61,460551.0,278176.39,0.0,0.0,Self,12,5.240340504,Savings,Afternoon,0
CASH_IN,Uruguay,3523.06,9854223.72,9857746.78,0.0,0.0,Self,11,7.013218582,Savings,Morning,0
PAYMENT,Estados Unidos,18591.22,264732.0,246150.78,0.0,0.0,Merchant,13,8.471437937,Savings,Afternoon,1
PAYMENT,Estados Unidos,11591.3,12627.0,1035.7,438030.0,449621.3,Merchant,10,7.870799135,Savings,Morning,0
CASH_OUT,Estados Unidos,248408.34,347045.0,98636.66,0.0,0.0,Self,17,2.388989367,Current,Afternoon,0
TRANSFER,China,438437.09,1639197.0,1200759.91,740675.45,1179112.54,Customer,6,3.601886044,Savings,Night,0
PAYMENT,Honduras,1841.69,124930.52,123088.83,1967823.0,1969664.69,Merchant,6,2.689662769,Savings,Night,0
TRANSFER,Estados Unidos,61824.71,223083.0,161258.29,56601.0,118425.71,Customer,17,2.940869819,Savings,Night,0
CREDIT,SudAfrica,2807.73,10640.0,13447.73,15655.05,12847.32,Customer,9,5.537807384,Savings,Morning,0
PAYMENT,El Salvador,15730.19,1071036.0,1055305.81,866602.0,882332.19,Merchant,6,5.325943735,Savings,Night,0
CASH_IN,Estados Unidos,484.57,5422437.76,5422922.33,0.0,0.0,Self,3,7.472122823,Savings,Afternoon,0
PAYMENT,Francia,5159.5,22366.0,17206.5,258494.0,263653.5,Merchant,11,8.249759172,Savings,Night,0
CASH_IN,India,26531.35,4239952.52,4266483.87,0.0,0.0,Self,5,6.79649007,Savings,Night,0
PAYMENT,Rusia,13878.21,49623.0,35744.79,1931510.0,1945388.21,Merchant,12,7.848212671,Savings,Afternoon,0
CASH_IN,Panama,291681.95,527557.73,819239.68,0.0,0.0,Self,11,2.917405824,Savings,Morning,0
PAYMENT,Estados Unidos,18152.45,1570392.0,1552239.55,1998031.0,2016183.45,Merchant,4,2.035432427,Savings,Morning,0
CASH_OUT,Arabia Saudi,114499.14,1877702.0,1763202.86,0.0,0.0,Self,1,7.061609882,Savings,Night,0
CASH_IN,India,119675.03,2442637.2,2562312.23,0.0,0.0,Self,8,3.341340351,Savings,Morning,0
PAYMENT,India,38874.87,609441.0,570566.13,473776.0,512650.87,Merchant,4,4.209175801,Current,Morning,0
PAYMENT,Francia,6686.54,12269.0,5582.46,119245.0,125931.54,Merchant,8,0.506133349,Savings,Night,0
PAYMENT,Polonia,28369.96,66292.0,37932.04,0.0,0.0,Merchant,8,5.29356545,Savings,Afternoon,1
PAYMENT,Alemania,4227.19,36054.0,31836.81,0.0,0.0,Merchant,14,4.856303848,Savings,Afternoon,1
PAYMENT,Filipinas,3272.71,4352.0,1079.29,157056.0,160328.71,Merchant,5,7.160649296,Savings,Afternoon,0
CASH_IN,Vietnam,197498.84,1116624.88,1314123.72,0.0,0.0,Self,19,7.815839144,Savings,Morning,0
CASH_OUT,China,49661.18,1554840.0,1505178.82,0.0,0.0,Self,9,5.610346439,Savings,Night,0
PAYMENT,Australia,6548.43,204316.0,197767.57,1923393.0,1929941.43,Merchant,10,6.962848192,Current,Night,0
PAYMENT,Camboya,6525.58,337514.0,330988.42,1527273.0,1533798.58,Merchant,3,5.85576029,Savings,Morning,0
PAYMENT,Irak,6490.69,14703.0,8212.31,1477097.0,1483587.69,Merchant,11,8.853652238,Savings,Afternoon,0
PAYMENT,Francia,6382.5,21022.0,14639.5,1267653.0,1274035.5,Merchant,18,1.386841712,Current,Morning,0
PAYMENT,Italia,663.34,54727.71,54064.37,1439908.0,1440571.34,Merchant,11,0.616670904,Current,Night,0
PAYMENT,Republica Dominicana,1156.11,9044.0,7887.89,1432277.0,1433433.11,Merchant,15,4.112815539,Current,Night,0
PAYMENT,Egipto,4828.43,36736.58,31908.15,820601.0,825429.43,Merchant,15,5.732238987,Savings,Afternoon,0
PAYMENT,Francia,27475.78,636995.0,609519.22,1172909.0,1200384.78,Merchant,3,8.026922242,Savings,Morning,0
PAYMENT,Honduras,1839.63,19480.0,17640.37,1284133.0,1285972.63,Merchant,4,4.788008828,Savings,Afternoon,0
PAYMENT,Israel,372.34,65254.0,64881.66,1439550.0,1439922.34,Merchant,14,4.863108966,Current,Afternoon,0
CASH_OUT,Estados Unidos,191702.06,382243.0,190540.94,0.0,0.0,Self,16,7.922888086,Savings,Morning,0
TRANSFER,Rusia,436465.06,1007442.0,570976.94,26547.0,463012.06,Customer,8,8.638808385,Current,Night,0
CASH_OUT,Filipinas,540789.56,1410699.0,869909.44,0.0,0.0,Self,6,4.823792393,Savings,Afternoon,0
CASH_OUT,Italia,122380.82,202063.98,79683.16,0.0,0.0,Self,15,2.689579404,Savings,Morning,0
PAYMENT,Vietnam,6192.38,293451.0,287258.62,1583038.0,1589230.38,Merchant,19,8.692860103,Current,Morning,0
PAYMENT,Reino Unido,5171.22,14115.0,8943.78,824677.0,829848.22,Merchant,20,6.161191202,Savings,Night,0
PAYMENT,Afganistan,3860.03,13282.0,9421.97,1946037.0,1949897.03,Merchant,11,2.23009289,Savings,Afternoon,0
PAYMENT,Reino Unido,1016.95,7745.0,6728.05,1130449.0,1131465.95,Merchant,14,7.349971025,Savings,Afternoon,0
CASH_IN,Iran,82564.24,6739112.35,6821676.59,0.0,0.0,Self,4,6.717306165,Savings,Night,0
TRANSFER,India,2061082.82,2499819.0,438736.18,14900000.0,16961082.82,Customer,13,0.298090768,Savings,Night,0
PAYMENT,SudAfrica,3988.39,80513.0,76524.61,219413.0,223401.39,Merchant,15,5.487560135,Current,Afternoon,0
CASH_IN,Guatemala,194451.87,2978801.08,3173252.94,345945.73,108483.43,Self,4,0.5461913747,Current,Morning,1
CASH_IN,Honduras,24638.55,4003379.84,4028018.39,0.0,0.0,Self,6,0.586286997,Savings,Night,0
CASH_OUT,Alemania,333946.96,1084097.27,750150.31,0.0,0.0,Self,8,1.70437329,Savings,Afternoon,0
PAYMENT,Alemania,5601.3,7638.0,2036.7,750319.0,755920.3,Merchant,7,0.975234559,Current,Night,0
CASH_OUT,Australia,49350.98,378896.35,329545.37,0.0,0.0,Self,2,8.67685016,Savings,Night,0
CASH_IN,Alemania,132499.75,1876043.0,2008542.75,0.0,0.0,Self,14,0.548864677,Savings,Night,0
CASH_OUT,Arabia Saudi,39485.21,1287483.0,1247997.79,0.0,0.0,Self,14,6.406392519,Savings,Morning,0
CASH_IN,Alemania,119973.24,9337863.38,9457836.62,0.0,0.0,Self,17,6.892855018,Current,Afternoon,0
CASH_OUT,Brasil,472385.25,679213.19,206827.94,0.0,0.0,Self,13,2.504951516,Savings,Night,0
PAYMENT,Mexico,6013.05,43830.0,37816.95,1143026.0,1149039.05,Merchant,12,1.900745522,Savings,Morning,0
PAYMENT,Mexico,5222.53,10059.0,4836.47,961689.0,966911.53,Merchant,7,2.250033351,Current,Afternoon,0
CASH_OUT,Argelia,47819.39,726918.0,679098.61,0.0,0.0,Self,15,0.193587054,Current,Afternoon,0
TRANSFER,Filipinas,1453126.81,2088239.0,635112.19,3809570.13,5262696.94,Customer,16,8.559147408,Savings,Morning,0
CASH_OUT,Estados Unidos,533164.85,1736335.59,1203170.74,0.0,0.0,Self,11,6.084297839,Savings,Afternoon,0
CASH_OUT,El Salvador,141702.19,377923.0,236220.81,0.0,0.0,Self,11,7.953266497,Savings,Night,0
PAYMENT,Nicaragua,2927.68,10908.0,7980.32,658062.0,660989.68,Merchant,6,1.442833846,Savings,Afternoon,0
CASH_OUT,China,340917.37,527758.0,186840.63,0.0,0.0,Self,7,5.614322606,Savings,Night,0
CREDIT,Alemania,13758.63,29858.0,43616.63,21305.0,7546.37,Customer,10,0.686143586,Savings,Night,0
PAYMENT,Indonesia,4477.03,10548.0,6070.97,457470.0,461947.03,Merchant,12,6.861933311,Savings,Morning,0
PAYMENT,China,6257.76,22163.0,15905.24,692510.0,698767.76,Merchant,17,8.408401057,Savings,Afternoon,0
PAYMENT,Nigeria,8001.69,51106.0,43104.31,1587695.0,1595696.69,Merchant,7,3.210926912,Savings,Morning,0
CASH_IN,Espana,47529.19,472283.2,519812.39,0.0,0.0,Self,20,3.806678959,Savings,Afternoon,0
TRANSFER,Noruega,651387.84,1219344.0,567956.16,5405684.33,6057072.17,Customer,2,0.646201913,Savings,Night,0
CASH_IN,Iran,94933.34,447650.0,542583.34,0.0,0.0,Self,10,5.590577496,Savings,Morning,0
CASH_IN,Brasil,306426.01,2862422.61,3168848.62,0.0,0.0,Self,18,7.946120463,Current,Morning,0
CASH_OUT,Paises Bajos,151095.37,1269615.0,1118519.63,0.0,0.0,Self,15,8.256996548,Savings,Night,0
PAYMENT,Mexico,2831.44,11763.0,8931.56,745740.0,748571.44,Merchant,18,1.125697717,Savings,Afternoon,0
TRANSFER,Australia,139173.95,1821650.0,1682476.05,0.0,139173.95,Customer,20,2.703633442,Savings,Night,0
CASH_IN,Italia,109768.65,7858869.37,7968638.02,0.0,0.0,Self,6,0.758668392,Savings,Afternoon,0
CASH_IN,Estados Unidos,26775.37,6600948.54,6627723.91,0.0,0.0,Self,15,7.404561674,Savings,Morning,0
PAYMENT,Guatemala,5935.34,279695.0,273759.66,998730.0,1004665.34,Merchant,19,6.787839444,Current,Morning,0
CASH_OUT,Francia,86821.76,996713.0,909891.24,0.0,0.0,Self,20,0.000706994,Savings,Afternoon,0
CASH_IN,Australia,120234.99,1155863.3,1276098.29,0.0,0.0,Self,10,3.979382192,Savings,Morning,0
CASH_IN,Paises Bajos,80280.3,1442878.64,1523158.94,0.0,0.0,Self,2,3.655349327,Current,Night,0
CASH_IN,Mexico,58431.85,10100000.0,10158431.85,0.0,0.0,Self,16,0.839243555,Savings,Afternoon,0
CASH_IN,Nueva Zelanda,146331.12,2131606.6,2277937.72,0.0,0.0,Self,8,8.496714929,Savings,Afternoon,0
PAYMENT,Honduras,8598.19,30605.0,22006.81,455655.0,464253.19,Merchant,4,8.754782837,Current,Afternoon,0
PAYMENT,Australia,19304.22,24895.0,5590.78,1223161.0,1242465.22,Merchant,17,1.589973435,Current,Night,0
CASH_IN,Australia,506375.58,2725871.09,3232246.67,0.0,0.0,Self,2,4.243627641,Current,Morning,0
PAYMENT,Paises Bajos,11611.66,42966.33,31354.67,178098.0,189709.66,Merchant,20,3.250744106,Savings,Night,0
PAYMENT,Mexico,6926.11,9594.0,2667.89,1329808.0,1336734.11,Merchant,1,7.716791373,Savings,Morning,0
CASH_IN,Rusia,133785.78,7419933.98,7553719.76,0.0,0.0,Self,19,5.009799794,Savings,Night,0
CASH_IN,Austria,392470.41,2423992.63,2816463.04,0.0,0.0,Self,16,4.288217944,Savings,Morning,0
PAYMENT,Australia,2290.0,268569.12,266279.12,1881883.0,1884173.0,Merchant,9,0.381107731,Savings,Afternoon,0
PAYMENT,Cuba,349.63,9037.0,8687.37,1481508.0,1481857.63,Merchant,12,3.592433793,Current,Afternoon,0
PAYMENT,Australia,6598.82,104777.0,98178.18,1978410.0,1985008.82,Merchant,4,4.562920673,Savings,Night,0
PAYMENT,India,8618.23,15921.0,7302.77,1027615.0,1036233.23,Merchant,12,1.928432515,Savings,Night,0
PAYMENT,Cuba,2039.96,233252.0,231212.04,1418285.0,1420324.96,Merchant,12,1.999141992,Savings,Afternoon,0
CASH_IN,Colombia,123951.78,9833673.49,9957625.27,0.0,0.0,Self,8,6.674017904,Savings,Afternoon,0
CASH_IN,Estados Unidos,7880.94,2545151.58,2553032.52,0.0,0.0,Self,17,6.154426506,Savings,Night,0
PAYMENT,Francia,8575.5,20845.0,12279.5,0.0,0.0,Merchant,16,5.910678879,Savings,Morning,1
CREDIT,Indonesia,4538.75,10819.0,15357.75,80056.78,75518.03,Customer,13,0.255998792,Savings,Afternoon,0
PAYMENT,Iran,26862.79,35393.0,8530.21,820052.0,846914.79,Merchant,18,6.333093562,Savings,Afternoon,0
PAYMENT,Mexico,5435.84,22704.0,17268.16,531703.0,537138.84,Merchant,20,8.322413483,Savings,Night,0
CREDIT,Guatemala,3584.21,135496.0,139080.21,100614.05,97029.84,Customer,17,8.911547971,Savings,Night,0
PAYMENT,Francia,5248.34,134912.0,129663.66,1333253.0,1338501.34,Merchant,6,3.438266611,Current,Night,0
PAYMENT,Costa de Marfil,41727.65,0.0,0.0,0.0,0.0,Merchant,11,6.541109326,Savings,Morning,1
PAYMENT,Honduras,2634.1,11678.0,9043.9,1191486.0,1194120.1,Merchant,9,3.127676683,Savings,Afternoon,0
PAYMENT,Australia,3973.91,30850.53,26876.62,1165293.0,1169266.91,Merchant,4,8.495473323,Savings,Night,0
PAYMENT,Paises Bajos,7048.35,11715.0,4666.65,1504734.0,1511782.35,Merchant,5,1.079721687,Current,Morning,0
PAYMENT,China,8363.92,16319.0,7955.08,140953.0,149316.92,Merchant,16,3.276180484,Current,Afternoon,0
TRANSFER,Italia,421520.68,1724594.0,1303073.32,31429.67,452950.35,Customer,9,7.170902051,Savings,Night,0
TRANSFER,Francia,733678.95,1892131.0,1158452.05,102226.0,835904.95,Customer,4,7.713075213,Savings,Afternoon,0
CASH_OUT,Georgia,235238.66,235238.66,0.0,0.0,0.0,Self,12,3.859149752,Current,Afternoon,0
CASH_IN,Nigeria,437567.49,2994735.4,3432302.89,0.0,0.0,Self,5,1.696183397,Savings,Morning,0
PAYMENT,Reino Unido,18897.18,198244.0,179346.82,1148655.0,1167552.18,Merchant,2,8.011502969,Current,Morning,0
PAYMENT,Brasil,532.13,6012.0,5479.87,1217751.0,1218283.13,Merchant,8,5.555336872,Savings,Morning,0
CASH_OUT,China,51861.21,894370.12,842508.91,0.0,0.0,Self,13,4.859450052,Savings,Morning,0
TRANSFER,Tailandia,655143.29,743675.0,88531.71,22053.28,677196.57,Customer,12,1.243904042,Savings,Afternoon,0
PAYMENT,Nicaragua,25.12,61663.0,61637.88,277433.0,277458.12,Merchant,16,1.051131843,Current,Morning,0
PAYMENT,Turquia,3823.08,10382.0,6558.92,1237288.0,1241111.08,Merchant,1,4.969695205,Savings,Morning,0
PAYMENT,China,1810.41,12471.0,10660.59,913495.0,915305.41,Merchant,8,0.404081613,Savings,Afternoon,0
PAYMENT,Estados Unidos,2114.18,9353.47,7239.29,1605596.0,1607710.18,Merchant,19,7.960651805,Current,Afternoon,0
CASH_IN,Reino Unido,30075.22,7650058.67,7680133.89,0.0,0.0,Self,19,0.834947735,Savings,Night,0
CASH_IN,India,156922.36,1281862.28,1438784.64,0.0,0.0,Self,1,0.970433186,Savings,Night,0
CASH_IN,Irlanda,86835.95,7596484.86,7683320.81,0.0,0.0,Self,2,4.05250309,Savings,Morning,0
PAYMENT,Tanzania,15448.0,874758.0,859310.0,1383893.0,1399341.0,Merchant,20,7.996135139,Savings,Afternoon,0
CASH_IN,China,201744.79,2642136.11,2843880.9,0.0,0.0,Self,6,0.479003307,Savings,Morning,0
CASH_IN,Estados Unidos,92398.49,5536209.99,5628608.48,0.0,0.0,Self,10,7.587676283,Current,Afternoon,0
CASH_OUT,Paises Bajos,102077.16,611943.0,509865.84,0.0,0.0,Self,9,6.040069902,Current,Morning,0
PAYMENT,Filipinas,10930.96,1095722.0,1084791.04,1377111.0,1388041.96,Merchant,1,6.715841656,Savings,Night,0
CASH_IN,Estados Unidos,405114.48,2916157.96,3321272.44,0.0,0.0,Self,1,7.36606981,Savings,Morning,0
CASH_IN,Suecia,10844.67,6194838.3,6205682.97,0.0,0.0,Self,19,0.412243637,Savings,Afternoon,0
CASH_IN,Burkina Faso,294676.6,2109805.18,2404481.78,0.0,0.0,Self,11,8.977701306,Savings,Night,0
PAYMENT,Australia,7817.71,53860.0,46042.29,663109.0,670926.71,Merchant,14,0.151490583,Current,Morning,0
TRANSFER,India,708855.97,2020649.0,1311793.03,1066634.1,1775490.07,Customer,19,6.934770466,Savings,Afternoon,0
CASH_IN,Arabia Saudi,275712.54,6269058.27,6544770.81,0.0,0.0,Self,20,1.574701341,Savings,Afternoon,0
CASH_OUT,Estados Unidos,93459.27,1234490.0,1141030.73,0.0,0.0,Self,16,1.799551946,Savings,Morning,0
TRANSFER,Estados Unidos,491920.0,1848526.0,1356606.0,13494.74,505414.74,Customer,16,0.222996477,Savings,Morning,0
PAYMENT,Francia,11917.23,34669.76,22752.53,287567.0,299484.23,Merchant,17,7.872189849,Savings,Afternoon,0
CASH_IN,Filipinas,254934.1,292381.97,547316.07,0.0,0.0,Self,15,8.373393174,Savings,Night,0
CASH_OUT,Republica Dominicana,108702.86,477495.0,368792.14,0.0,0.0,Self,13,8.743624902,Savings,Night,0
CASH_OUT,Nueva Zelanda,171810.63,1735767.0,1563956.37,0.0,0.0,Self,2,1.340809916,Current,Morning,0
PAYMENT,Egipto,8016.07,228776.0,220759.93,691563.0,699579.07,Merchant,18,5.946389661,Savings,Afternoon,0
PAYMENT,China,25554.79,1306134.47,1280579.68,1114266.0,1139820.79,Merchant,20,4.313888919,Savings,Morning,0
PAYMENT,Australia,3023.16,1754047.0,1751023.84,1715079.0,1718102.16,Merchant,2,4.835482587,Savings,Afternoon,0
CASH_IN,Estados Unidos,116822.62,884035.68,1000858.3,0.0,0.0,Self,1,7.792688245,Savings,Afternoon,0
PAYMENT,Australia,11239.89,12213.0,973.11,1247363.0,1258602.89,Merchant,18,3.063747767,Savings,Night,0
CREDIT,Mexico,625.92,30165.0,30790.92,1042.0,416.08,Customer,19,0.927721933,Current,Night,0
PAYMENT,Nueva Zelanda,25.08,21558.0,21542.92,0.0,0.0,Merchant,6,8.749388322,Savings,Night,1
CASH_IN,Portugal,25084.74,3844748.58,3869833.32,0.0,0.0,Self,1,5.582450284,Savings,Night,0
PAYMENT,Australia,10715.15,19879.0,9163.85,733872.0,744587.15,Merchant,19,3.382710522,Savings,Morning,0
PAYMENT,Cuba,9895.37,17187.0,7291.63,1896077.0,1905972.37,Merchant,3,5.377185237,Savings,Afternoon,0
PAYMENT,Estados Unidos,952.48,46570.0,45627.52,0.0,0.0,Merchant,11,4.481363635,Current,Afternoon,1
TRANSFER,Brasil,189072.94,1592110.0,1403037.06,0.0,189072.94,Customer,6,6.271592523,Current,Morning,0
PAYMENT,Francia,1228.91,10740.0,9511.09,1193120.0,1194348.91,Merchant,11,1.911980272,Savings,Night,0
PAYMENT,Australia,1677.52,24448.0,22770.48,1548565.0,1550242.52,Merchant,9,8.403149897,Savings,Night,0
PAYMENT,Australia,803.32,51979.0,51175.68,372020.0,372823.32,Merchant,7,4.819430108,Savings,Afternoon,0
PAYMENT,Italia,1068.22,13244.0,12175.78,604396.0,605464.22,Merchant,11,6.642130819,Savings,Morning,0
CASH_OUT,Mexico,178514.46,1787178.0,1608663.54,0.0,0.0,Self,16,5.962655589,Current,Night,0
PAYMENT,Espana,10476.7,1182554.0,1172077.3,337882.0,348358.7,Merchant,17,8.357630014,Savings,Morning,0
PAYMENT,Haiti,16807.66,11778.74,0.0,0.0,0.0,Merchant,15,0.9276562559,Savings,Morning,1
PAYMENT,Malasia,9818.95,275151.0,265332.05,807573.0,817391.95,Merchant,8,5.813636613,Savings,Night,0
CASH_IN,Francia,257656.05,5514460.8,5772116.85,0.0,0.0,Self,15,4.822178552,Savings,Night,0
TRANSFER,Australia,19772.53,1166888.0,1147115.47,44486.99,64259.52,Customer,10,7.328504465,Current,Morning,0
CASH_OUT,Estados Unidos,178505.6,1787080.0,1608574.4,0.0,0.0,Self,19,3.510941426,Current,Morning,0
PAYMENT,Estados Unidos,900.37,11715.0,10814.63,1907507.0,1908407.37,Merchant,17,5.964001583,Savings,Night,0
CASH_IN,China,32185.19,6381843.64,6414028.83,0.0,0.0,Self,17,6.652221961,Savings,Afternoon,0
PAYMENT,Estados Unidos,136.37,5083.0,4946.63,600962.0,601098.37,Merchant,10,2.824448697,Savings,Afternoon,0
PAYMENT,SudAfrica,17263.06,36692.0,19428.94,1613874.0,1631137.06,Merchant,12,0.955049014,Current,Night,0
TRANSFER,Alemania,291753.7,812680.0,520926.3,11000000.0,11291753.7,Customer,12,1.174831082,Savings,Afternoon,0
CASH_IN,Filipinas,29488.46,553479.18,582967.64,0.0,0.0,Self,10,4.650059652,Current,Afternoon,0
PAYMENT,Alemania,34795.88,1336935.0,1302139.12,1208424.0,1243219.88,Merchant,5,0.562731185,Savings,Morning,0
CREDIT,Nicaragua,4397.38,36481.0,40878.38,128823.03,124425.65,Customer,18,3.838254156,Savings,Afternoon,0
PAYMENT,Turquia,4192.58,5989.0,1796.42,1167900.0,1172092.58,Merchant,17,6.825185526,Savings,Morning,0
PAYMENT,Australia,5623.13,259029.4,253406.27,1404349.0,1409972.13,Merchant,15,0.397085273,Current,Afternoon,0
PAYMENT,Irlanda,13071.27,35215.0,22143.73,206243.0,219314.27,Merchant,15,8.806304591,Savings,Afternoon,0
CASH_OUT,China,55855.58,1287671.0,1231815.42,0.0,0.0,Self,6,7.175998397,Savings,Afternoon,0
PAYMENT,Guatemala,9877.48,468753.35,458875.87,1430760.0,1440637.48,Merchant,3,5.939417327,Savings,Morning,0
CASH_IN,Francia,72644.99,7365835.98,7438480.97,0.0,0.0,Self,14,7.241774311,Savings,Afternoon,0
PAYMENT,Chile,741.48,2590.0,1848.52,1210694.0,1211435.48,Merchant,6,8.015902198,Current,Night,0
PAYMENT,Estados Unidos,21840.26,1439600.0,1417759.74,505066.0,526906.26,Merchant,15,4.281070426,Current,Afternoon,0
CASH_IN,Mongolia,84980.31,2641780.43,2726760.74,0.0,0.0,Self,19,5.834572569,Savings,Night,0
PAYMENT,Argentina,1399.83,6227.17,4827.34,198483.0,199882.83,Merchant,19,1.922770226,Current,Morning,0
PAYMENT,Francia,15350.84,50020.61,34669.77,194204.0,209554.84,Merchant,14,5.045489444,Savings,Morning,0
CASH_IN,Honduras,208834.32,11000000.0,11208834.32,0.0,0.0,Self,5,8.149062984,Current,Morning,0
CASH_OUT,Turquia,327066.19,1696867.0,1369800.81,0.0,0.0,Self,2,2.466949349,Current,Night,0
CASH_IN,Australia,175443.85,3156649.13,3332092.98,0.0,0.0,Self,8,8.124510277,Current,Night,0
PAYMENT,Paises Bajos,6131.21,0.0,0.0,0.0,0.0,Merchant,16,4.105522964,Savings,Morning,1
CREDIT,Indonesia,2731.05,175409.0,178140.05,69810.0,67078.95,Customer,4,8.616145816,Savings,Morning,0
CASH_IN,Indonesia,57817.21,4001620.38,4059437.59,0.0,0.0,Self,13,7.27165303,Savings,Afternoon,0
TRANSFER,Mexico,44944.32,1018931.0,973986.68,55414.0,100358.32,Customer,6,2.52899158,Savings,Afternoon,0
PAYMENT,Estados Unidos,352.7,18319.0,17966.3,614162.0,614514.7,Merchant,2,7.565916245,Savings,Morning,0
PAYMENT,Francia,561.01,30104.0,29542.99,1430095.0,1430656.01,Merchant,4,3.198204114,Savings,Afternoon,0
PAYMENT,Mexico,3597.85,45405.0,41807.15,1637114.0,1640711.85,Merchant,4,2.647934964,Current,Morning,0
CASH_IN,Alemania,141632.37,2062534.09,2204166.46,0.0,0.0,Self,18,3.104712389,Savings,Morning,0
PAYMENT,Turquia,7150.21,159445.0,152294.79,1770559.0,1777709.21,Merchant,8,5.056826603,Savings,Night,0
CASH_IN,Marruecos,38583.71,2867063.07,2905646.78,0.0,0.0,Self,6,0.321187514,Savings,Night,0
PAYMENT,Turquia,11667.76,459092.0,447424.24,1896809.0,1908476.76,Merchant,19,3.460426838,Savings,Night,0
PAYMENT,China,5138.36,12187.0,7048.64,1684365.0,1689503.36,Merchant,18,5.635111208,Savings,Morning,0
PAYMENT,Alemania,7798.05,362445.0,354646.95,1868349.0,1876147.05,Merchant,14,2.96729425,Savings,Afternoon,0
PAYMENT,Alemania,4798.8,13813.0,9014.2,1584392.0,1589190.8,Merchant,4,7.180802543,Savings,Afternoon,0
PAYMENT,Francia,12603.14,57732.85,45129.71,1382405.0,1395008.14,Merchant,19,5.816377665,Current,Afternoon,0
PAYMENT,Estados Unidos,10200.43,20141.0,9940.57,259051.0,269251.43,Merchant,19,2.41300498,Savings,Night,0
PAYMENT,Brasil,3727.23,3838.0,110.77,1533569.0,1537296.23,Merchant,15,3.061830438,Savings,Afternoon,0
